,Date,Open,Adj Close,Volume,pct_change_c2c,pct_change_intraday,10d_realised_vol,count,pos,neg,net,abs,pct_change_c2c_next,pct_change_intraday_next,Volume_next,down_next,Short Volume,Short Exempt Volume
0,2021-01-28,39.540000915527344,35.65999984741211,85250700.0,-8.564102955353569,-9.812850223257229,110.7401856695559,9.0,0.0208747514910536,0.0208747514910536,0.0,0.0417495029821073,-1.3460447119748475,-3.90603737048681,42030900.0,1,23130317,809070
1,2021-01-29,36.61000061035156,35.18000030517578,42030900.0,-1.3460447119748475,-3.90603737048681,109.25464200114824,44.0,0.0258706467661691,0.0281449893390191,-0.00227434257285,0.0540156361051883,-3.467882916770848,-3.8777318867213126,43460900.0,1,10293959,630121
2,2021-02-01,35.33000183105469,33.959999084472656,43460900.0,-3.467882916770848,-3.8777318867213126,110.18046615337371,9.0,0.0193783326830537,0.0156067108856808,0.0037716217973728,0.0349850435687345,-8.657240005796185,-9.032252651550325,69647900.0,1,11840636,95715
3,2021-02-02,34.099998474121094,31.020000457763672,69647900.0,-8.657240005796185,-9.032252651550325,117.9165963535146,7.0,0.0207681365576102,0.0261735419630156,-0.0054054054054054,0.0469416785206258,2.38555693165039,-1.9450422125291664,35312000.0,0,19231252,492216
4,2021-02-03,32.38999938964844,31.76000022888184,35312000.0,2.38555693165039,-1.9450422125291664,120.0505382160976,14.0,0.0252180061277398,0.022625500824888,0.0025925053028517,0.0478435069526278,0.9130951073325068,-1.6267727569276913,31565000.0,0,9381871,374761
5,2021-02-04,32.58000183105469,32.04999923706055,31565000.0,0.9130951073325068,-1.6267727569276913,119.32469853807363,2.0,0.009090909090909,0.0,0.009090909090909,0.009090909090909,6.240249758531435,4.415819073158429,62230800.0,0,9150435,141065
6,2021-02-05,32.61000061035156,34.04999923706055,62230800.0,6.240249758531435,4.415819073158429,88.66243206944894,12.0,0.033040784718637,0.0224574083634486,0.0105833763551884,0.0554981930820857,5.873715256425527,-3.1434764784257454,72376000.0,0,14667298,208177
7,2021-02-08,37.220001220703125,36.04999923706055,72376000.0,5.873715256425527,-3.1434764784257454,80.13528129964281,4.0,0.0171799706683427,0.0131992457573852,0.0039807249109574,0.030379216425728,5.880718382111194,3.441725177641864,44243200.0,0,11841954,115360
8,2021-02-09,36.900001525878906,38.16999816894531,44243200.0,5.880718382111194,3.441725177641864,85.74647047379142,1.0,0.0361635220125786,0.0283018867924528,0.0078616352201257,0.0644654088050314,-6.471044077794641,-6.422020091604726,45177200.0,1,7292643,90561
9,2021-02-10,38.150001525878906,35.70000076293945,45177200.0,-6.471044077794641,-6.422020091604726,79.67944016598582,6.0,0.0509933774834437,0.0139072847682119,0.0370860927152317,0.0649006622516556,-7.254902233157923,-7.488125835764017,51863200.0,1,7049015,111688
